"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
2383,"agegp6",NA,NA,NA,NA,NA,2
2384,"agegp5",NA,NA,1,NA,2,1
2385,"agegp5",NA,NA,1,NA,6,3
2386,"agegp5",NA,3,NA,NA,3,3
2387,"agegp5",NA,NA,1,2,2,NA
2388,"agegp5",1,NA,2,NA,1,1
2389,"agegp6",NA,NA,NA,NA,NA,1
2390,"agegp5",1,NA,1,NA,2,NA
2391,"agegp6",NA,NA,1,2,1,1
2392,"agegp6",NA,NA,NA,NA,1,NA
2393,"agegp5",NA,NA,1,NA,1,NA
2394,"agegp5",1,NA,1,NA,3,NA
2395,"agegp6",NA,NA,1,1,1,NA
2396,"agegp5",NA,NA,NA,NA,1,NA
